"'"
"2003 Representation Order Federal Electroral District(FED) to 2013 Representation Order Federal Electroral District*"

"Province or territory","New FED number- 2013","New FED name- 2013","Old FED number- 2003","Old FED name- 2003"
"Ontario",35049,"Lanark--Frontenac--Kingston",35036,"Kingston and the Islands"
"Ontario",35049,"Lanark--Frontenac--Kingston",35040,"Lanark - Frontenac - Lennox and Addington"
"Ontario",35049,"Lanark--Frontenac--Kingston",35041,"Leeds - Grenville"
"Ontario",35050,"Leeds-Grenville-Thousand Islands and Rideau Lakes",35041,"Leeds - Grenville"
"Ontario",35051,"London--Fanshawe",35020,"Elgin - Middlesex - London"
"Ontario",35051,"London--Fanshawe",35042,"London - Fanshawe"
"Ontario",35051,"London--Fanshawe",35043,"London North Centre"
"Ontario",35052,"London North Centre",35043,"London North Centre"
"Ontario",35052,"London North Centre",35044,"London West"
"Ontario",35053,"London West",35044,"London West"
"Ontario",35054,"Markham--Stouffville",35045,"Markham - Unionville"
"Ontario",35054,"Markham--Stouffville",35059,"Oak Ridges - Markham"
"Ontario",35055,"Markham--Thornhill",35045,"Markham - Unionville"
"Ontario",35055,"Markham--Thornhill",35089,"Thornhill"
"Ontario",35056,"Markham--Unionville",35045,"Markham - Unionville"
"Ontario",35056,"Markham--Unionville",35059,"Oak Ridges - Markham"
"Ontario",35057,"Milton",35030,"Halton"
"Ontario",35058,"Mississauga Centre",35047,"Mississauga - Brampton South"
"Ontario",35058,"Mississauga Centre",35048,"Mississauga East - Cooksville"
"Ontario",35058,"Mississauga Centre",35049,"Mississauga - Erindale"
"Ontario",35058,"Mississauga Centre",35051,"Mississauga - Streetsville"
"Ontario",35059,"Mississauga East--Cooksville",35047,"Mississauga - Brampton South"
"Ontario",35059,"Mississauga East--Cooksville",35048,"Mississauga East - Cooksville"
"Ontario",35059,"Mississauga East--Cooksville",35050,"Mississauga South"
"Ontario",35060,"Mississauga--Erin Mills",35030,"Halton"
"Ontario",35060,"Mississauga--Erin Mills",35049,"Mississauga - Erindale"
"Ontario",35061,"Mississauga--Lakeshore",35049,"Mississauga - Erindale"
"Ontario",35061,"Mississauga--Lakeshore",35050,"Mississauga South"
"Ontario",35062,"Mississauga--Malton",35006,"Bramalea - Gore - Malton"
"Ontario",35062,"Mississauga--Malton",35047,"Mississauga - Brampton South"
